,0,1,2,3,4
0,通过,['[ tōng//guò ]'],"['通', '过']","['#/entry/zhko/1d819fa80f554ed98d2f98fa6921a285', '#/entry/zhko/5536d41f42d24ab9a5d3024babd1ff9e']",1.건너가다   2.지나가다   3.통과되다   4.채택되다
1,认识,['[ rèn‧shi ]'],"['认', '识']","['#/entry/zhko/15fc36fac0dd4541a864a034af48c01d', '#/entry/zhko/57a977bfde6845f78f0c66927ac8ac60']",1.알다   2.인식하다   3.인식
2,排除,['[ páichú ]'],"['排', '除']","['#/entry/zhko/ccdda8d690ba47c783254d8a55464240', '#/entry/zhko/ff7419492faf45c9b0e070fd0ac91df3']",1.제거하다   2.배제하다   3.배설하다
3,分别,['[ fēnbié ]'],"['分', '别']","['#/entry/zhko/eaa8679b1f9f490cad9fee0ecb021098', '#/entry/zhko/11e9188b0638425d83d2595d4bb77216']",1.헤어지다   2.구별   3.다름   4.분해하다
4,部位,['[ bùwèi ]'],"['部', '位']","['#/entry/zhko/c4472c249fdc4677be0145c34fa387d1', '#/entry/zhko/e338cc812d46430ebc109091ebd006c8']",1.부위   2.위치
5,一边儿,['[ yìbiān(r) ]'],"['一', '边', '儿']","['#/entry/zhko/8500c302bffc4c679ae96f1502cae41b', '#/entry/zhko/03ce6e23a31f4d6daa358a8ab088535c', '#/entry/zhko/2e54c2a8f93c464192be8615d6c66a0a']",1.한쪽   2.옆   3.한편으로 …하면서   4.같다
6,表明,['[ biǎomíng ]'],"['表', '明']","['#/entry/zhko/2c06930f0e804d66bc79a255741dbc5a', '#/entry/zhko/61f798567d2e4b578ff22974ee6c7c8e']",1.표명하다   2.분명하게 보이다
7,水龙头,['[ shuǐlóngtóu ]'],"['水', '龙', '头']","['#/entry/zhko/53f9b2ef150b47be9c82fe4cd732b3e7', '#/entry/zhko/7dffa88f3c334ce4a612730c560ca14a', '#/entry/zhko/c1c5fbc9371b4cef9b54c057890a5040']",1.수도꼭지   2.소방용 호스의 주둥이
8,崇高,['[ chónggāo ]'],"['崇', '高']","['#/entry/zhko/37828275452445bcaf8b01f18b409b93', '#/entry/zhko/5dbe8d665a204188b2ebd86aec41087d']",1.숭고하다   2.고상하다
9,经商,['[ jīng//shāng ]'],"['经', '商']","['#/entry/zhko/5b8d20d9d11d4e11bf0e5efb3424644c', '#/entry/zhko/3a76b14e4b1b4d90b700494a4df605d5']",
10,期望,['[ qīwàng ]'],"['期', '望']","['#/entry/zhko/3a82f9811cfa414c8b8f8750d30bb0b4', '#/entry/zhko/9f62dead2ec94004b6d4c309be2ba534']",
11,一点儿,['[ yìdiǎnr ]'],"['一', '点', '儿']","['#/entry/zhko/8500c302bffc4c679ae96f1502cae41b', '#/entry/zhko/97af851211e14e8b88d6c7291a2360c7', '#/entry/zhko/2e54c2a8f93c464192be8615d6c66a0a']",1.‘这么’ 또는 ‘那么’와 함께 쓰여서 극소의 형체 또는 극소의 수량을 나타냄   2.조금   3.점주 ‘丶’
12,一样,['[ yíyàng ]'],"['一', '样']","['#/entry/zhko/8500c302bffc4c679ae96f1502cae41b', '#/entry/zhko/3cac805687e8427db1294f945292b4dd']",1.같다   2.한 종류   3.다른 한 가지 일
13,依然,['[ yīrán ]'],"['依', '然']","['#/entry/zhko/976f9b4b0ab240739681a1861a52e73e', '#/entry/zhko/71fa4748a8e047e08690fe2af5fcc4e4']",1.의연하다   2.전과 다름이 없다
14,十足,['[ shízú ]'],"['十', '足']","['#/entry/zhko/a928f17548874e1ead6c24499b702074', '#/entry/zhko/cb3d126ce24b4a5c80a254b89ed2c12d']",1.함유율이 높다   2.충분하다   3.충분히
15,天真,['[ tiānzhēn ]'],"['天', '真']","['#/entry/zhko/7b7de782c3d04a459a2d105e44201e7b', '#/entry/zhko/5c17bdba61194d978c6e1411152ccbca']",1.천진하다   2.순진하다   3.유치하다   4.단순하다
16,刚才,['[ gāng‧cái ]'],"['刚', '才']","['#/entry/zhko/f783c2a0bf014d629be534e546ed995f', '#/entry/zhko/0eabd63e368a4c0e86e20dd4932f42af']",1.지금 막   2.방금   3.이제 금방
17,争气,['[ zhēng//qì ]'],"['争', '气']","['#/entry/zhko/e2e0c92752454f9e9d75fba79cd55fb9', '#/entry/zhko/0bf16093641c469998407bba451994fa']",1.지지 않으려고 애쓰다   2.争口气(1)   3.다투어 이기려 하는 기질
18,人工,['[ réngōng ]'],"['人', '工']","['#/entry/zhko/7f6ef11496e949fe8aef2de9bc4944a3', '#/entry/zhko/55131bab1d1c4512b96164c4a9ae1977']",1.인공의   2.인력   3.한 사람의 1일분 작업 단위   4.품삯
19,记录,['[ jìlù ]'],"['记', '录']","['#/entry/zhko/3a4e9d7712954163a7eaa521dd948e6f', '#/entry/zhko/62849cc3a6864dcaab6446a05431a43a']",1.기록하다   2.기록   3.서기   4.최고 성적·기록
20,评论,['[ pínglùn ]'],"['评', '论']","['#/entry/zhko/389c42fd8bcc4ba8a9b1e1ad1703853e', '#/entry/zhko/6864c7f0674e4fca9dd47f1f833d7a59']",1.평론하다   2.세평하다   3.평론
21,抗议,['[ kàngyì ]'],"['抗', '议']","['#/entry/zhko/9378c972597941a0966c6bc0eb108e53', '#/entry/zhko/636b311948a64610b4f6338fc045627c']",
22,国际,['[ guójì ]'],"['国', '际']","['#/entry/zhko/adfd96a8f127463db3470cc6bf89387c', '#/entry/zhko/88a71d7b93834cdcb4dd013a71c2c538']",
23,气味,['[ qìwèi ]'],"['气', '味']","['#/entry/zhko/0bf16093641c469998407bba451994fa', '#/entry/zhko/d347b22a7f034387a304d24f21ca92e9']",1.냄새   2.성격   3.광경   4.기미
24,人格,['[ réngé ]'],"['人', '格']","['#/entry/zhko/7f6ef11496e949fe8aef2de9bc4944a3', '#/entry/zhko/bff44af4f92b46bca43ea47d85fbdfe1']",1.인품   2.성격   3.인격   4.인격권
25,发动,['[ fādòng ]'],"['发', '动']","['#/entry/zhko/90dde58de4ac43d8a7b44106573447ed', '#/entry/zhko/c9e7b20c77a744b0bd58cdb7c85a1265']",1.개시하다   2.행동하기 시작하다   3.시동을 걸다   4.분만하려고 할 때의 진통
26,科目,['[ kēmù ]'],"['科', '目']","['#/entry/zhko/205d53774686438d98e363e73e4a6b79', '#/entry/zhko/edce84afba48409489f4e4e7608a93a6']",1.과목   2.문제   3.과거 시험의 과목
27,统筹兼顾,['[ tǒng chóu jiān gù ]'],"['统', '筹', '兼', '顾']","['#/entry/zhko/857e30dfbaac4f2182cf73724af4555b', '#/entry/zhko/5644f39f7080486ca15eb3e22936ebab', '#/entry/zhko/439cd7dba4694be0be3ddf61351f86b0', '#/entry/zhko/cd32aa0d7d2d46809f4f0bac0a26d348']",
28,虐待,['[ nüèdài ]'],"['虐', '待']","['#/entry/zhko/06cd8a1890204e3cb207b0a28013b3e8', '#/entry/zhko/a86f98fc8dc94d2bbaeef008512355bc']",
29,过期,['[ guò//qī ]'],"['过', '期']","['#/entry/zhko/5536d41f42d24ab9a5d3024babd1ff9e', '#/entry/zhko/3a82f9811cfa414c8b8f8750d30bb0b4']",1.기일이 지나다   2.기한을 넘기다
